"fno","id","sia","ala","k","ob","gh","pe","coord","neighpe"
5,311,5,2,5,4,1,-4.11352,51,-537.31
6,311,4,2,4,4,2,-4.20727,52,-538.292
7,311,5,3,5,6,1,-4.33405,49,-512.092
9,311,3,1,3,2,3,-3.15248,53,-556.416
10,311,4,2,4,4,2,-4.76446,51,-530.581
12,311,5,3,5,6,1,-3.69382,51,-536.978
13,311,5,3,5,6,1,-4.2537,51,-535.904
16,311,6,3,6,6,0,-3.94277,50,-524.794
17,311,5,2,5,4,1,-4.38468,51,-535.208
19,311,4,2,4,4,2,-3.36098,52,-542.402
20,311,3,2,3,3,3,-3.80031,50,-518.651
1,312,4,1,4,2,2,-3.83281,55,-570.06
2,312,3,2,3,4,3,-4.07518,51,-528.797
3,312,5,1,5,2,1,-3.61404,54,-567.324
4,312,5,3,5,6,1,-4.23474,49,-510.978
5,312,4,2,4,4,2,-4.23597,52,-547.083
6,312,4,2,4,4,2,-4.29842,53,-553.224
7,312,6,2,6,4,0,-3.89107,51,-539.861
8,312,2,1,2,2,4,-3.61697,54,-557.245
9,312,4,3,4,6,2,-3.49112,51,-524.925
10,312,2,3,2,6,4,-5.1923,49,-497.391
15,312,4,2,4,4,2,-4.20669,51,-531.769
16,312,5,3,5,6,1,-3.99463,51,-525.683
17,312,5,2,5,4,1,-4.30896,51,-534.157
18,312,3,1,3,2,3,-3.55958,54,-562.133
19,312,3,1,3,2,3,-3.28641,53,-555.289
1,313,6,2,6,4,0,-3.30713,50,-547.764
2,313,4,2,4,4,2,-3.9333,52,-539.087
5,313,5,2,5,4,1,-3.73765,51,-543.064
6,313,2,1,2,2,4,-4.08194,54,-552.696
7,313,4,3,4,6,2,-3.86763,50,-525.121
8,313,4,1,4,2,2,-3.2838,53,-566.005
9,313,5,3,5,6,1,-4.10087,50,-531.314
11,313,5,1,5,2,1,-3.61143,51,-557.617
13,313,6,2,6,4,0,-2.75725,53,-566.458
14,313,4,2,4,4,2,-4.7019,49,-527.719
15,313,5,3,5,6,1,-3.97109,51,-554.697
16,313,3,2,3,4,3,-3.73073,50,-534.151
17,313,5,2,5,4,1,-3.49268,51,-544.474
18,313,4,2,4,4,2,-3.57843,50,-534.264
19,313,4,0,4,0,2,-3.28342,55,-589.22
20,313,5,3,5,6,1,-3.74329,51,-527.992
2,314,3,3,3,6,3,-4.27242,51,-518.857
3,314,3,2,3,4,3,-3.89545,53,-541.74
4,314,5,3,5,6,1,-3.94518,51,-526.141
5,314,3,2,3,4,3,-4.18031,51,-527.712
6,314,5,2,5,4,1,-4.08248,51,-535.199
7,314,4,3,4,6,2,-4.68979,51,-533.155
8,314,3,1,3,2,3,-3.48222,54,-561.411
10,314,4,3,4,6,2,-4.9896,52,-536.488
11,314,3,3,3,6,3,-4.21871,50,-510.077
12,314,5,3,5,6,1,-3.29133,51,-531.093
13,314,4,2,4,4,2,-4.12493,55,-578.244
14,314,3,3,3,6,3,-4.63127,52,-542.535
15,314,3,2,3,4,3,-4.31093,51,-526.917
16,314,5,2,5,4,1,-3.83474,52,-544.201
17,314,4,2,4,4,2,-4.63336,52,-548.154
18,314,5,2,5,4,1,-3.61166,52,-545.171
19,314,5,2,5,4,1,-3.25744,51,-538.042
3,315,4,0,4,0,2,-3.39711,55,-580.304
4,315,5,3,5,6,1,-3.92835,51,-525.188
6,315,5,3,5,6,1,-4.35455,51,-527.343
7,315,5,1,5,2,1,-3.83018,54,-568.189
9,315,5,2,5,4,1,-3.24603,52,-546.209
11,315,5,3,5,6,1,-4.08424,50,-517.904
12,315,4,1,4,2,2,-2.92839,53,-559.748
15,315,4,3,4,6,2,-4.52104,51,-521.314
17,315,4,3,4,6,2,-4.67056,50,-516.002
18,315,6,3,6,6,0,-3.74206,51,-532.732
19,315,5,3,5,6,1,-3.45095,51,-528.323
20,315,2,1,2,2,4,-3.71098,54,-556.472
1,316,5,2,5,4,1,-3.4438,50,-537.793
5,316,5,2,5,4,1,-3.86355,48,-527.707
6,316,4,2,4,4,2,-4.18785,49,-529.774
8,316,5,1,5,2,1,-2.98747,54,-578.066
9,316,5,2,5,4,1,-3.95299,49,-535.616
11,316,3,2,3,4,3,-3.9804,53,-541.646
12,316,4,3,4,6,2,-4.28221,55,-563.004
13,316,5,2,5,4,1,-2.99426,51,-547.67
18,316,3,3,3,6,3,-4.10184,50,-513.281
19,316,3,1,3,2,3,-3.75749,52,-557.117
20,316,5,2,5,4,1,-3.56819,50,-543.141
1,317,3,1,3,2,3,-3.44548,53,-553.088
3,317,6,3,6,6,0,-4.28756,50,-533.35
6,317,5,3,5,6,1,-3.92835,49,-511.877
7,317,5,3,5,6,1,-3.87847,50,-518.962
8,317,5,1,5,2,1,-4.00119,53,-559.199
9,317,4,2,4,4,2,-4.68527,52,-535.644
10,317,4,1,4,2,2,-3.03193,53,-558.296
13,317,5,2,5,4,1,-3.97515,53,-551.447
15,317,3,3,3,5,3,-3.99928,51,-515.412
18,317,4,2,4,4,2,-4.03865,53,-545.008
1,318,5,3,5,6,1,-3.54081,50,-530.802
2,318,5,3,5,6,1,-4.14267,52,-533.904
3,318,1,2,1,4,5,-4.79565,51,-515.186
5,318,5,0,5,0,1,-3.29824,55,-591.265
6,318,3,3,3,6,3,-4.48736,49,-514.623
7,318,5,2,5,4,1,-3.60828,52,-545.729
9,318,5,3,5,6,1,-4.15783,49,-532.197
10,318,3,2,3,4,3,-4.685,54,-564.904
12,318,4,2,4,4,2,-3.89853,54,-566.51
13,318,4,0,4,0,2,-2.52013,55,-593.567
15,318,4,2,4,4,2,-3.54782,52,-542.208
16,318,4,2,4,4,2,-3.5036,52,-541.183
17,318,4,1,4,2,2,-3.27704,52,-558.594
18,318,4,3,4,6,2,-3.84085,49,-510.566
20,318,4,2,4,4,2,-3.71398,50,-537.532
3,319,6,2,6,4,0,-3.95629,51,-541.404
4,319,4,2,4,4,2,-4.21173,51,-531.402
5,319,4,3,4,6,2,-4.25448,49,-507.834
7,319,4,1,4,2,2,-3.49725,54,-563.199
8,319,3,2,3,4,3,-4.27603,52,-534.239
10,319,4,3,4,6,2,-3.48314,50,-516.598
12,319,5,3,5,6,1,-4.98061,51,-523.552
13,319,3,2,3,4,3,-4.23868,51,-526.766
14,319,4,3,4,6,2,-4.29031,53,-554.661
15,319,5,2,5,4,1,-3.53801,53,-549.853
17,319,2,2,2,3,4,-3.69251,51,-524.22
18,319,5,2,5,4,1,-4.04556,52,-542.184
19,319,5,2,5,4,1,-4.54435,51,-534.222
20,319,3,2,3,4,3,-4.25211,51,-527.021
1,320,5,2,5,4,1,-3.6632,51,-535.316
2,320,4,3,4,6,2,-4.16594,50,-515.881
3,320,6,3,6,6,0,-4.17149,52,-547.244
5,320,4,3,4,6,2,-4.12783,51,-520.892
6,320,5,3,5,6,1,-3.78472,50,-518.807
7,320,5,2,5,4,1,-3.7142,52,-543.84
11,320,3,2,3,4,3,-4.02545,51,-529.086
12,320,4,2,4,4,2,-4.83852,51,-528.815
14,320,4,2,4,4,2,-3.897,52,-540.929
16,320,4,2,4,4,2,-4.04755,52,-538.219
17,320,2,2,2,4,4,-3.75047,54,-548.273
18,320,4,2,4,4,2,-4.10157,54,-549.985
19,320,3,3,3,6,3,-5.04591,50,-508.318
20,320,3,2,3,4,3,-4.22281,52,-534.785
1,321,6,2,6,4,0,-3.30774,50,-541.95
2,321,4,2,4,4,2,-3.8729,51,-540.315
4,321,4,0,4,0,2,-3.02971,54,-582.501
5,321,4,2,4,4,2,-3.87588,51,-531.425
7,321,4,1,4,2,2,-3.41731,52,-559.715
8,321,4,1,4,2,2,-3.17388,54,-566.099
10,321,3,2,3,4,3,-4.70613,52,-547.602
14,321,3,3,3,6,3,-4.87532,48,-499.539
16,321,4,3,4,6,2,-3.69767,48,-513.214
17,321,5,2,5,4,1,-3.28688,53,-561.91
1,322,5,3,5,6,1,-3.80756,51,-526.191
2,322,5,3,5,6,1,-4.21387,50,-520.307
3,322,6,2,6,4,0,-4.01566,51,-541.548
4,322,4,2,4,4,2,-4.1633,51,-533.857
5,322,4,2,4,4,2,-3.94865,52,-538.271
6,322,5,2,5,4,1,-3.57163,52,-543.402
7,322,3,0,3,0,3,-3.32369,56,-583.046
10,322,4,3,4,6,2,-3.39793,51,-525.277
